parcel_id,gt_mask_ct,pred_mask_ct,mean_iou,p_50,r_50,p_70,r_70,p_90,r_90
0.0,9.0,12.0,0.55,0.5,0.67,0.33,0.44,0.0,0.0
1.0,10.0,22.0,0.65,0.32,0.7,0.18,0.4,0.0,0.0
2.0,12.0,14.0,0.24,0.21,0.25,0.21,0.25,0.0,0.0
3.0,4.0,6.0,0.29,0.17,0.25,0.17,0.25,0.0,0.0
4.0,35.0,30.0,0.3,0.2,0.17,0.07,0.06,0.03,0.03
5.0,17.0,13.0,0.43,0.54,0.41,0.15,0.12,0.0,0.0
6.0,16.0,10.0,0.39,0.4,0.25,0.0,0.0,0.0,0.0
7.0,5.0,9.0,0.39,0.33,0.6,0.11,0.2,0.0,0.0
8.0,7.0,11.0,0.31,0.18,0.29,0.09,0.14,0.0,0.0
9.0,12.0,13.0,0.36,0.31,0.33,0.31,0.33,0.0,0.0
10.0,20.0,19.0,0.4,0.53,0.5,0.26,0.25,0.0,0.0
11.0,16.0,14.0,0.35,0.43,0.38,0.21,0.19,0.0,0.0
12.0,10.0,6.0,0.42,0.5,0.3,0.17,0.1,0.0,0.0
13.0,2.0,7.0,0.69,0.29,1.0,0.14,0.5,0.0,0.0
14.0,1.0,3.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0
15.0,11.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
16.0,29.0,26.0,0.35,0.35,0.31,0.08,0.07,0.0,0.0
17.0,14.0,15.0,0.36,0.47,0.5,0.13,0.14,0.0,0.0
18.0,4.0,8.0,0.68,0.5,1.0,0.12,0.25,0.0,0.0
19.0,3.0,5.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0
21.0,8.0,9.0,0.21,0.11,0.12,0.0,0.0,0.0,0.0
22.0,15.0,12.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0
23.0,17.0,25.0,0.28,0.12,0.18,0.0,0.0,0.0,0.0
24.0,8.0,9.0,0.32,0.22,0.25,0.11,0.12,0.0,0.0
25.0,22.0,16.0,0.29,0.25,0.18,0.0,0.0,0.0,0.0
26.0,24.0,26.0,0.39,0.35,0.38,0.15,0.17,0.0,0.0
27.0,39.0,33.0,0.31,0.24,0.21,0.15,0.13,0.0,0.0
28.0,28.0,28.0,0.36,0.32,0.32,0.18,0.18,0.0,0.0
29.0,20.0,17.0,0.4,0.53,0.45,0.06,0.05,0.0,0.0
30.0,3.0,2.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0
31.0,12.0,11.0,0.33,0.18,0.17,0.18,0.17,0.0,0.0
32.0,28.0,27.0,0.28,0.15,0.14,0.11,0.11,0.0,0.0
33.0,26.0,25.0,0.23,0.16,0.15,0.04,0.04,0.0,0.0
34.0,34.0,32.0,0.41,0.44,0.41,0.19,0.18,0.0,0.0
35.0,23.0,19.0,0.43,0.58,0.48,0.26,0.22,0.0,0.0
36.0,10.0,15.0,0.56,0.47,0.7,0.4,0.6,0.07,0.1
37.0,46.0,44.0,0.42,0.45,0.43,0.34,0.33,0.02,0.02
38.0,61.0,58.0,0.42,0.45,0.43,0.28,0.26,0.03,0.03
39.0,38.0,19.0,0.62,0.79,0.39,0.58,0.29,0.0,0.0
40.0,17.0,12.0,0.47,0.58,0.41,0.42,0.29,0.08,0.06
41.0,18.0,11.0,0.43,0.45,0.28,0.27,0.17,0.18,0.11
42.0,20.0,18.0,0.51,0.61,0.55,0.5,0.45,0.0,0.0
43.0,12.0,17.0,0.49,0.35,0.5,0.35,0.5,0.12,0.17
44.0,13.0,12.0,0.52,0.67,0.62,0.5,0.46,0.08,0.08
45.0,12.0,14.0,0.56,0.57,0.67,0.57,0.67,0.07,0.08
46.0,15.0,10.0,0.55,0.6,0.4,0.6,0.4,0.0,0.0
47.0,9.0,7.0,0.45,0.57,0.44,0.43,0.33,0.29,0.22
48.0,42.0,24.0,0.59,0.71,0.4,0.46,0.26,0.08,0.05
49.0,21.0,10.0,0.45,0.5,0.24,0.4,0.19,0.0,0.0
50.0,11.0,13.0,0.53,0.54,0.64,0.23,0.27,0.15,0.18
51.0,26.0,23.0,0.54,0.65,0.58,0.57,0.5,0.26,0.23
52.0,20.0,23.0,0.55,0.57,0.65,0.43,0.5,0.13,0.15
53.0,24.0,21.0,0.53,0.67,0.58,0.43,0.38,0.1,0.08
54.0,16.0,13.0,0.67,0.77,0.62,0.69,0.56,0.31,0.25
55.0,15.0,18.0,0.48,0.44,0.53,0.44,0.53,0.11,0.13
56.0,14.0,16.0,0.72,0.75,0.86,0.75,0.86,0.12,0.14
57.0,17.0,18.0,0.48,0.5,0.53,0.44,0.47,0.0,0.0
58.0,41.0,34.0,0.46,0.5,0.41,0.44,0.37,0.03,0.02
59.0,26.0,27.0,0.58,0.63,0.65,0.48,0.5,0.22,0.23
60.0,9.0,14.0,0.52,0.43,0.67,0.36,0.56,0.0,0.0
61.0,35.0,28.0,0.71,0.82,0.66,0.79,0.63,0.11,0.09
62.0,62.0,42.0,0.56,0.62,0.42,0.45,0.31,0.12,0.08
63.0,46.0,27.0,0.62,0.67,0.39,0.56,0.33,0.22,0.13
64.0,39.0,29.0,0.55,0.62,0.46,0.45,0.33,0.03,0.03
65.0,45.0,33.0,0.57,0.55,0.4,0.52,0.38,0.15,0.11
66.0,44.0,29.0,0.57,0.66,0.43,0.45,0.3,0.07,0.05
67.0,45.0,39.0,0.62,0.67,0.58,0.59,0.51,0.15,0.13
68.0,26.0,28.0,0.44,0.46,0.5,0.29,0.31,0.11,0.12
69.0,19.0,18.0,0.36,0.39,0.37,0.33,0.32,0.11,0.11
70.0,20.0,16.0,0.54,0.62,0.5,0.56,0.45,0.0,0.0
71.0,27.0,17.0,0.61,0.76,0.48,0.47,0.3,0.0,0.0
72.0,7.0,38.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0
73.0,22.0,36.0,0.51,0.39,0.64,0.28,0.45,0.03,0.05
74.0,24.0,19.0,0.34,0.37,0.29,0.26,0.21,0.11,0.08
