parcel_id,gt_mask_ct,pred_mask_ct,mean_iou,p_50,r_50,p_70,r_70,p_90,r_90
0.0,9.0,18.0,0.52,0.28,0.56,0.17,0.33,0.0,0.0
1.0,10.0,23.0,0.61,0.3,0.7,0.17,0.4,0.0,0.0
2.0,12.0,14.0,0.23,0.21,0.25,0.21,0.25,0.0,0.0
3.0,4.0,7.0,0.21,0.14,0.25,0.14,0.25,0.0,0.0
4.0,35.0,27.0,0.28,0.19,0.14,0.07,0.06,0.04,0.03
5.0,17.0,10.0,0.47,0.7,0.41,0.2,0.12,0.0,0.0
6.0,16.0,8.0,0.37,0.38,0.19,0.0,0.0,0.0,0.0
7.0,5.0,3.0,0.44,0.67,0.4,0.33,0.2,0.0,0.0
8.0,7.0,6.0,0.33,0.33,0.29,0.17,0.14,0.0,0.0
9.0,12.0,12.0,0.36,0.33,0.33,0.33,0.33,0.0,0.0
10.0,20.0,20.0,0.38,0.5,0.5,0.25,0.25,0.0,0.0
11.0,16.0,14.0,0.36,0.43,0.38,0.21,0.19,0.0,0.0
12.0,10.0,5.0,0.48,0.6,0.3,0.2,0.1,0.0,0.0
13.0,2.0,6.0,0.69,0.33,1.0,0.17,0.5,0.0,0.0
14.0,1.0,448.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
15.0,11.0,7.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0
16.0,29.0,21.0,0.28,0.19,0.14,0.0,0.0,0.0,0.0
17.0,14.0,17.0,0.34,0.35,0.43,0.12,0.14,0.0,0.0
18.0,4.0,6.0,0.58,0.5,0.75,0.17,0.25,0.0,0.0
19.0,3.0,5.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0
22.0,15.0,8.0,0.24,0.12,0.07,0.0,0.0,0.0,0.0
23.0,17.0,16.0,0.18,0.12,0.12,0.0,0.0,0.0,0.0
24.0,8.0,7.0,0.36,0.29,0.25,0.14,0.12,0.0,0.0
25.0,22.0,14.0,0.34,0.21,0.14,0.0,0.0,0.0,0.0
26.0,24.0,25.0,0.38,0.36,0.38,0.16,0.17,0.0,0.0
27.0,39.0,34.0,0.28,0.21,0.18,0.12,0.1,0.0,0.0
28.0,28.0,30.0,0.36,0.3,0.32,0.17,0.18,0.0,0.0
29.0,20.0,15.0,0.33,0.4,0.3,0.0,0.0,0.0,0.0
30.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,12.0,11.0,0.32,0.27,0.25,0.18,0.17,0.0,0.0
32.0,28.0,27.0,0.22,0.11,0.11,0.04,0.04,0.0,0.0
33.0,26.0,20.0,0.28,0.25,0.19,0.1,0.08,0.0,0.0
34.0,34.0,28.0,0.31,0.25,0.21,0.14,0.12,0.0,0.0
35.0,23.0,10.0,0.42,0.5,0.22,0.4,0.17,0.0,0.0
36.0,10.0,16.0,0.57,0.44,0.7,0.38,0.6,0.06,0.1
37.0,46.0,47.0,0.42,0.47,0.48,0.34,0.35,0.04,0.04
38.0,61.0,54.0,0.43,0.44,0.39,0.35,0.31,0.04,0.03
39.0,38.0,17.0,0.63,0.71,0.32,0.59,0.26,0.0,0.0
40.0,17.0,2.0,0.34,0.5,0.06,0.0,0.0,0.0,0.0
41.0,18.0,8.0,0.44,0.5,0.22,0.25,0.11,0.25,0.11
42.0,20.0,15.0,0.53,0.67,0.5,0.53,0.4,0.0,0.0
43.0,12.0,13.0,0.47,0.46,0.5,0.38,0.42,0.15,0.17
44.0,13.0,12.0,0.48,0.58,0.54,0.5,0.46,0.17,0.15
45.0,12.0,9.0,0.6,0.78,0.58,0.67,0.5,0.11,0.08
46.0,15.0,4.0,0.77,1.0,0.27,0.75,0.2,0.0,0.0
47.0,9.0,5.0,0.37,0.4,0.22,0.4,0.22,0.4,0.22
48.0,42.0,20.0,0.55,0.6,0.29,0.35,0.17,0.1,0.05
49.0,21.0,7.0,0.45,0.43,0.14,0.43,0.14,0.0,0.0
50.0,11.0,13.0,0.5,0.46,0.55,0.38,0.45,0.15,0.18
51.0,26.0,21.0,0.56,0.67,0.54,0.57,0.46,0.29,0.23
52.0,20.0,23.0,0.54,0.57,0.65,0.39,0.45,0.09,0.1
53.0,24.0,20.0,0.48,0.55,0.46,0.35,0.29,0.1,0.08
54.0,16.0,15.0,0.62,0.73,0.69,0.6,0.56,0.27,0.25
55.0,15.0,17.0,0.44,0.41,0.47,0.41,0.47,0.12,0.13
56.0,14.0,15.0,0.66,0.73,0.79,0.73,0.79,0.13,0.14
57.0,17.0,12.0,0.48,0.58,0.41,0.58,0.41,0.0,0.0
58.0,41.0,24.0,0.42,0.5,0.29,0.38,0.22,0.0,0.0
59.0,26.0,28.0,0.52,0.57,0.62,0.43,0.46,0.21,0.23
60.0,9.0,9.0,0.46,0.56,0.56,0.44,0.44,0.0,0.0
61.0,35.0,29.0,0.68,0.79,0.66,0.76,0.63,0.14,0.11
62.0,62.0,31.0,0.58,0.58,0.29,0.48,0.24,0.13,0.06
63.0,46.0,24.0,0.6,0.62,0.33,0.54,0.28,0.21,0.11
64.0,39.0,19.0,0.55,0.63,0.31,0.42,0.21,0.05,0.03
65.0,45.0,25.0,0.5,0.4,0.22,0.4,0.22,0.16,0.09
66.0,44.0,24.0,0.62,0.71,0.39,0.5,0.27,0.08,0.05
67.0,45.0,35.0,0.67,0.71,0.56,0.66,0.51,0.2,0.16
68.0,26.0,24.0,0.45,0.5,0.46,0.29,0.27,0.08,0.08
69.0,19.0,17.0,0.32,0.35,0.32,0.29,0.26,0.12,0.11
70.0,20.0,15.0,0.52,0.67,0.5,0.47,0.35,0.07,0.05
71.0,27.0,12.0,0.57,0.75,0.33,0.33,0.15,0.0,0.0
72.0,7.0,38.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0
