parcel_id,gt_mask_ct,pred_mask_ct,mean_iou,p_50,r_50,p_70,r_70,p_90,r_90
2.0,9.0,10.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,14.0,4.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,33.0,19.0,0.38,0.42,0.24,0.37,0.21,0.11,0.06
7.0,9.0,6.0,0.28,0.33,0.22,0.33,0.22,0.17,0.11
8.0,10.0,7.0,0.33,0.43,0.3,0.29,0.2,0.0,0.0
9.0,5.0,4.0,0.22,0.25,0.2,0.25,0.2,0.0,0.0
10.0,27.0,17.0,0.43,0.47,0.3,0.47,0.3,0.12,0.07
11.0,4.0,12.0,0.23,0.08,0.25,0.08,0.25,0.08,0.25
12.0,18.0,11.0,0.46,0.55,0.33,0.55,0.33,0.09,0.06
13.0,6.0,7.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0
14.0,52.0,6.0,0.29,0.33,0.04,0.33,0.04,0.0,0.0
15.0,18.0,10.0,0.35,0.4,0.22,0.3,0.17,0.1,0.06
16.0,41.0,5.0,0.71,1.0,0.12,0.6,0.07,0.0,0.0
17.0,19.0,14.0,0.34,0.36,0.26,0.36,0.26,0.07,0.05
18.0,12.0,9.0,0.48,0.56,0.42,0.56,0.42,0.0,0.0
21.0,4.0,7.0,0.25,0.14,0.25,0.14,0.25,0.0,0.0
22.0,43.0,14.0,0.57,0.64,0.21,0.36,0.12,0.0,0.0
23.0,27.0,7.0,0.66,0.86,0.22,0.71,0.19,0.14,0.04
24.0,9.0,7.0,0.12,0.14,0.11,0.14,0.11,0.0,0.0
25.0,50.0,5.0,0.5,0.4,0.04,0.2,0.02,0.2,0.02
29.0,33.0,6.0,0.32,0.33,0.06,0.33,0.06,0.0,0.0
30.0,23.0,7.0,0.16,0.14,0.04,0.0,0.0,0.0,0.0
33.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,62.0,6.0,0.45,0.33,0.03,0.17,0.02,0.0,0.0
37.0,10.0,12.0,0.06,0.08,0.1,0.0,0.0,0.0,0.0
38.0,12.0,4.0,0.23,0.25,0.08,0.25,0.08,0.25,0.08
40.0,18.0,448.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
41.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,14.0,6.0,0.68,0.83,0.36,0.67,0.29,0.17,0.07
43.0,4.0,6.0,0.36,0.33,0.5,0.17,0.25,0.17,0.25
44.0,13.0,5.0,0.18,0.2,0.08,0.2,0.08,0.2,0.08
45.0,8.0,8.0,0.11,0.12,0.12,0.12,0.12,0.0,0.0
48.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,36.0,12.0,0.39,0.42,0.14,0.25,0.08,0.08,0.03
50.0,33.0,10.0,0.42,0.5,0.15,0.4,0.12,0.1,0.03
51.0,18.0,5.0,0.37,0.4,0.11,0.4,0.11,0.2,0.06
52.0,3.0,2.0,0.43,0.5,0.33,0.5,0.33,0.0,0.0
54.0,13.0,448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,3.0,6.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0
56.0,7.0,6.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
57.0,14.0,7.0,0.45,0.57,0.29,0.57,0.29,0.0,0.0
58.0,7.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
61.0,24.0,7.0,0.37,0.43,0.12,0.43,0.12,0.29,0.08
62.0,5.0,7.0,0.19,0.14,0.2,0.14,0.2,0.14,0.2
63.0,5.0,7.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
64.0,27.0,4.0,0.73,0.75,0.11,0.75,0.11,0.25,0.04
65.0,30.0,2.0,0.8,1.0,0.07,1.0,0.07,0.0,0.0
66.0,26.0,3.0,0.66,1.0,0.12,0.67,0.08,0.0,0.0
68.0,19.0,3.0,0.31,0.33,0.05,0.33,0.05,0.0,0.0
69.0,18.0,448.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
70.0,1.0,3.0,0.73,0.33,1.0,0.33,1.0,0.0,0.0
72.0,1.0,13.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0
73.0,23.0,4.0,0.45,0.5,0.09,0.5,0.09,0.0,0.0
75.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76.0,7.0,448.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0
77.0,16.0,3.0,0.3,0.33,0.06,0.33,0.06,0.0,0.0
78.0,13.0,4.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
79.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81.0,28.0,12.0,0.56,0.75,0.32,0.5,0.21,0.0,0.0
82.0,17.0,2.0,0.61,0.5,0.06,0.5,0.06,0.5,0.06
83.0,13.0,2.0,0.42,0.5,0.08,0.5,0.08,0.0,0.0
84.0,1.0,448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.0,11.0,3.0,0.74,1.0,0.27,0.67,0.18,0.0,0.0
87.0,9.0,448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
