parcel_id,gt_mask_ct,pred_mask_ct,mean_iou,p_50,r_50,p_70,r_70,p_90,r_90
0.0,9.0,26.0,0.37,0.12,0.33,0.08,0.22,0.0,0.0
1.0,10.0,39.0,0.51,0.13,0.5,0.1,0.4,0.0,0.0
2.0,12.0,31.0,0.23,0.1,0.25,0.1,0.25,0.0,0.0
3.0,4.0,26.0,0.29,0.04,0.25,0.04,0.25,0.0,0.0
4.0,35.0,44.0,0.19,0.09,0.11,0.05,0.06,0.05,0.06
5.0,17.0,56.0,0.18,0.05,0.18,0.02,0.06,0.0,0.0
6.0,16.0,41.0,0.29,0.02,0.06,0.02,0.06,0.0,0.0
7.0,5.0,33.0,0.28,0.06,0.4,0.03,0.2,0.0,0.0
8.0,7.0,50.0,0.3,0.04,0.29,0.02,0.14,0.0,0.0
9.0,12.0,39.0,0.32,0.1,0.33,0.1,0.33,0.0,0.0
10.0,20.0,25.0,0.37,0.44,0.55,0.2,0.25,0.0,0.0
11.0,16.0,38.0,0.35,0.16,0.38,0.08,0.19,0.0,0.0
12.0,10.0,24.0,0.25,0.08,0.2,0.0,0.0,0.0,0.0
13.0,2.0,34.0,0.84,0.06,1.0,0.06,1.0,0.0,0.0
14.0,1.0,40.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
15.0,11.0,66.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0
16.0,29.0,58.0,0.22,0.1,0.21,0.03,0.07,0.0,0.0
17.0,14.0,31.0,0.36,0.16,0.36,0.0,0.0,0.0,0.0
18.0,4.0,15.0,0.52,0.13,0.5,0.07,0.25,0.0,0.0
19.0,3.0,17.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0
20.0,7.0,16.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0
21.0,8.0,23.0,0.26,0.04,0.12,0.0,0.0,0.0,0.0
22.0,15.0,35.0,0.2,0.06,0.13,0.0,0.0,0.0,0.0
23.0,17.0,92.0,0.29,0.03,0.18,0.0,0.0,0.0,0.0
24.0,8.0,53.0,0.29,0.02,0.12,0.0,0.0,0.0,0.0
25.0,22.0,57.0,0.23,0.04,0.09,0.0,0.0,0.0,0.0
26.0,24.0,74.0,0.33,0.11,0.33,0.05,0.17,0.0,0.0
27.0,39.0,94.0,0.28,0.1,0.23,0.03,0.08,0.0,0.0
28.0,28.0,123.0,0.38,0.07,0.32,0.03,0.14,0.0,0.0
29.0,20.0,53.0,0.25,0.11,0.3,0.02,0.05,0.0,0.0
30.0,3.0,24.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0
31.0,12.0,26.0,0.18,0.08,0.17,0.04,0.08,0.04,0.08
32.0,28.0,79.0,0.25,0.03,0.07,0.0,0.0,0.0,0.0
33.0,26.0,110.0,0.26,0.04,0.15,0.01,0.04,0.0,0.0
34.0,34.0,90.0,0.45,0.16,0.41,0.08,0.21,0.0,0.0
35.0,23.0,101.0,0.41,0.08,0.35,0.06,0.26,0.0,0.0
36.0,10.0,29.0,0.3,0.1,0.3,0.1,0.3,0.03,0.1
37.0,46.0,60.0,0.35,0.3,0.39,0.23,0.3,0.03,0.04
